Metodo,Acuracia
"Clf Binning ""N"" and ""uniq_Opnd""",0.993993993993994
"Clf Binning ""N"" and ""total_Op""",0.993993993993994
"Clf Binning ""N"" and ""total_Opnd""",0.996996996996997
"Clf Binning ""N"" and ""branchCount""",0.996996996996997
"Clf Binning ""V"" and ""L""",0.993993993993994
"Clf Binning ""V"" and ""D""",0.996996996996997
"Clf Binning ""V"" and ""I""",0.993993993993994
"Clf Binning ""V"" and ""E""",0.990990990990991
"Clf Binning ""V"" and ""B""",0.996996996996997
"Clf Binning ""V"" and ""T""",0.993993993993994
"Clf Binning ""V"" and ""lOCode""",0.990990990990991
"Clf Binning ""V"" and ""lOComment""",0.993993993993994
"Clf Binning ""V"" and ""locCodeAndComment""",0.990990990990991
"Clf Binning ""V"" and ""lOBlank""",0.990990990990991
"Clf Binning ""V"" and ""uniq_Op""",0.993993993993994
"Clf Binning ""V"" and ""uniq_Opnd""",0.987987987987988
"Clf Binning ""V"" and ""total_Op""",0.993993993993994
"Clf Binning ""V"" and ""total_Opnd""",0.993993993993994
"Clf Binning ""V"" and ""branchCount""",0.993993993993994
"Clf Binning ""L"" and ""D""",0.993993993993994
"Clf Binning ""L"" and ""I""",0.996996996996997
"Clf Binning ""L"" and ""E""",0.996996996996997
"Clf Binning ""L"" and ""B""",0.996996996996997
"Clf Binning ""L"" and ""T""",0.996996996996997
"Clf Binning ""L"" and ""lOCode""",0.996996996996997
"Clf Binning ""L"" and ""lOComment""",0.996996996996997
"Clf Binning ""L"" and ""locCodeAndComment""",0.993993993993994
"Clf Binning ""L"" and ""lOBlank""",1.0
"Clf Binning ""L"" and ""uniq_Op""",0.996996996996997
"Clf Binning ""L"" and ""uniq_Opnd""",0.993993993993994
"Clf Binning ""L"" and ""total_Op""",0.996996996996997
"Clf Binning ""L"" and ""total_Opnd""",0.996996996996997
"Clf Binning ""L"" and ""branchCount""",0.996996996996997
"Clf Binning ""D"" and ""I""",0.996996996996997
"Clf Binning ""D"" and ""E""",0.993993993993994
"Clf Binning ""D"" and ""B""",0.996996996996997
"Clf Binning ""D"" and ""T""",0.993993993993994
"Clf Binning ""D"" and ""lOCode""",0.996996996996997
"Clf Binning ""D"" and ""lOComment""",0.993993993993994
"Clf Binning ""D"" and ""locCodeAndComment""",0.996996996996997
"Clf Binning ""D"" and ""lOBlank""",1.0
"Clf Binning ""D"" and ""uniq_Op""",0.996996996996997
"Clf Binning ""D"" and ""uniq_Opnd""",0.993993993993994
"Clf Binning ""D"" and ""total_Op""",0.996996996996997
"Clf Binning ""D"" and ""total_Opnd""",0.996996996996997
"Clf Binning ""D"" and ""branchCount""",0.993993993993994
"Clf Binning ""I"" and ""E""",0.990990990990991
"Clf Binning ""I"" and ""B""",0.993993993993994
"Clf Binning ""I"" and ""T""",0.993993993993994
"Clf Binning ""I"" and ""lOCode""",0.993993993993994
"Clf Binning ""I"" and ""lOComment""",0.993993993993994
"Clf Binning ""I"" and ""locCodeAndComment""",0.990990990990991
"Clf Binning ""I"" and ""lOBlank""",0.993993993993994
"Clf Binning ""I"" and ""uniq_Op""",0.993993993993994
"Clf Binning ""I"" and ""uniq_Opnd""",0.984984984984985
"Clf Binning ""I"" and ""total_Op""",0.993993993993994
"Clf Binning ""I"" and ""total_Opnd""",0.993993993993994
"Clf Binning ""I"" and ""branchCount""",0.996996996996997
"Clf Binning ""E"" and ""B""",0.993993993993994
"Clf Binning ""E"" and ""T""",0.990990990990991
"Clf Binning ""E"" and ""lOCode""",0.987987987987988
"Clf Binning ""E"" and ""lOComment""",0.993993993993994
"Clf Binning ""E"" and ""locCodeAndComment""",0.993993993993994
"Clf Binning ""E"" and ""lOBlank""",0.993993993993994
"Clf Binning ""E"" and ""uniq_Op""",0.987987987987988
"Clf Binning ""E"" and ""uniq_Opnd""",0.990990990990991
"Clf Binning ""E"" and ""total_Op""",0.993993993993994
"Clf Binning ""E"" and ""total_Opnd""",0.990990990990991
"Clf Binning ""E"" and ""branchCount""",0.993993993993994
"Clf Binning ""B"" and ""T""",0.996996996996997
"Clf Binning ""B"" and ""lOCode""",0.996996996996997
"Clf Binning ""B"" and ""lOComment""",0.993993993993994
"Clf Binning ""B"" and ""locCodeAndComment""",0.990990990990991
"Clf Binning ""B"" and ""lOBlank""",0.993993993993994
"Clf Binning ""B"" and ""uniq_Op""",1.0
"Clf Binning ""B"" and ""uniq_Opnd""",0.993993993993994
"Clf Binning ""B"" and ""total_Op""",0.993993993993994
"Clf Binning ""B"" and ""total_Opnd""",0.996996996996997
"Clf Binning ""B"" and ""branchCount""",0.996996996996997
"Clf Binning ""T"" and ""lOCode""",0.990990990990991
"Clf Binning ""T"" and ""lOComment""",0.993993993993994
"Clf Binning ""T"" and ""locCodeAndComment""",0.993993993993994
"Clf Binning ""T"" and ""lOBlank""",0.993993993993994
"Clf Binning ""T"" and ""uniq_Op""",0.993993993993994
"Clf Binning ""T"" and ""uniq_Opnd""",0.990990990990991
"Clf Binning ""T"" and ""total_Op""",0.993993993993994
"Clf Binning ""T"" and ""total_Opnd""",0.993993993993994
"Clf Binning ""T"" and ""branchCount""",0.996996996996997
"Clf Binning ""lOCode"" and ""lOComment""",0.993993993993994
"Clf Binning ""lOCode"" and ""locCodeAndComment""",0.987987987987988
"Clf Binning ""lOCode"" and ""lOBlank""",0.996996996996997
"Clf Binning ""lOCode"" and ""uniq_Op""",0.996996996996997
"Clf Binning ""lOCode"" and ""uniq_Opnd""",0.984984984984985
"Clf Binning ""lOCode"" and ""total_Op""",0.993993993993994
"Clf Binning ""lOCode"" and ""total_Opnd""",0.993993993993994
"Clf Binning ""lOCode"" and ""branchCount""",0.996996996996997
"Clf Binning ""lOComment"" and ""locCodeAndComment""",0.978978978978979
"Clf Binning ""lOComment"" and ""lOBlank""",0.993993993993994
"Clf Binning ""lOComment"" and ""uniq_Op""",0.987987987987988
"Clf Binning ""lOComment"" and ""uniq_Opnd""",0.978978978978979
"Clf Binning ""lOComment"" and ""total_Op""",0.993993993993994
"Clf Binning ""lOComment"" and ""total_Opnd""",0.993993993993994
"Clf Binning ""lOComment"" and ""branchCount""",0.993993993993994
"Clf Binning ""locCodeAndComment"" and ""lOBlank""",0.987987987987988
"Clf Binning ""locCodeAndComment"" and ""uniq_Op""",0.993993993993994
"Clf Binning ""locCodeAndComment"" and ""uniq_Opnd""",0.987987987987988
"Clf Binning ""locCodeAndComment"" and ""total_Op""",0.996996996996997
"Clf Binning ""locCodeAndComment"" and ""total_Opnd""",0.987987987987988
"Clf Binning ""locCodeAndComment"" and ""branchCount""",0.993993993993994
"Clf Binning ""lOBlank"" and ""uniq_Op""",0.996996996996997
"Clf Binning ""lOBlank"" and ""uniq_Opnd""",0.993993993993994
